Id,Category
321187,unrelated
321190,unrelated
321189,unrelated
321193,agreed
321191,unrelated
321194,agreed
321192,unrelated
321197,agreed
321195,agreed
321199,agreed
321198,agreed
321201,agreed
321196,agreed
321200,agreed
321203,agreed
321202,agreed
321206,agreed
321204,agreed
321207,agreed
321208,agreed
321205,agreed
321209,agreed
321211,unrelated
321210,agreed
321214,agreed
321213,agreed
321215,agreed
321212,agreed
321218,agreed
321220,agreed
321216,agreed
321219,agreed
321217,agreed
321221,agreed
321223,agreed
321225,agreed
321224,agreed
321222,agreed
321226,agreed
321228,agreed
321227,unrelated
321230,agreed
321232,unrelated
321229,agreed
321231,agreed
321234,agreed
321233,agreed
321235,agreed
321239,agreed
321237,unrelated
321238,agreed
321242,unrelated
321236,agreed
321240,agreed
321241,agreed
321245,agreed
321243,agreed
321244,agreed
321247,agreed
321249,agreed
321253,agreed
321251,agreed
321248,agreed
321246,agreed
321250,unrelated
321254,agreed
321252,unrelated
321257,agreed
321255,agreed
321258,agreed
321256,agreed
321260,agreed
321259,agreed
321261,agreed
321262,agreed
321263,unrelated
321264,unrelated
321267,agreed
321271,agreed
321269,agreed
321266,agreed
321265,agreed
321270,unrelated
321273,unrelated
321268,agreed
321272,unrelated
321274,agreed
321275,agreed
321276,unrelated
321277,agreed
321279,unrelated
321278,agreed
321280,agreed
321281,agreed
321286,agreed
321285,agreed
321282,agreed
321284,agreed
321288,unrelated
321283,unrelated
321287,agreed
321290,agreed
321289,unrelated
321291,unrelated
321293,unrelated
321292,unrelated
321294,unrelated
321297,unrelated
321296,unrelated
321295,unrelated
321298,unrelated
321300,unrelated
321299,unrelated
321301,agreed
321305,agreed
321302,unrelated
321304,agreed
321307,agreed
321308,agreed
321303,agreed
321309,agreed
321311,agreed
321310,agreed
321314,unrelated
321306,agreed
321312,agreed
321313,agreed
321315,agreed
321317,agreed
321316,unrelated
321318,agreed
321319,unrelated
321320,unrelated
321323,agreed
321321,agreed
321328,unrelated
321324,agreed
321322,agreed
321326,agreed
321325,unrelated
321329,agreed
321327,unrelated
321330,unrelated
321332,agreed
321335,unrelated
321336,agreed
321334,agreed
321338,agreed
321337,agreed
321333,agreed
321331,agreed
321341,agreed
321342,unrelated
321339,agreed
321340,unrelated
321343,agreed
321344,unrelated
321348,agreed
321346,unrelated
321345,unrelated
321349,unrelated
321352,unrelated
321355,unrelated
321354,unrelated
321351,unrelated
321353,unrelated
321350,unrelated
321347,unrelated
321356,agreed
321357,agreed
321358,unrelated
321359,unrelated
321360,unrelated
321361,unrelated
321363,unrelated
321364,agreed
